OneGoal ID,Selectivity,College/University,Recommended Institution,Grad Rate Quartile,Website,Opportunity Programs,City,State,Region,Sector,Locale,Size,% Pell Grant,% African American,% Hispanic,% In State,HBCU,Hispanic Serving Institution,On Campus Housing?,6 Year Grad Rate (Overall),6 Year Grad Rate (Minority),Grad Rate Quartile,Net Price: 0-30,Median Debt of Graduates,Median Salary After Attending,Percent Earning Over HS Grad,CUNY/SUNY
13274,Two-Year College,Everest Institute at Rochester,,Q2 (TOP 25 - 50%),www.everest.edu/campus/rochester,,Rochester,NY,New York,Private for-profit,Suburb,"Very Small (<1,000)",100,43,20,100,,,No,24,20,Q2 (TOP 25 - 50%),"$15,828 ","$10,944 ","$43,300 ",79,
13264,Two-Year College,CUNY Kingsborough Community College,,Q2 (TOP 25 - 50%),www.kbcc.cuny.edu,"Apple Corps
ASAP
College Discovery",Brooklyn,NY,New York,Public,City,"Medium (5,000-15,000)",68,28,21,98,,,No,26,18,Q2 (TOP 25 - 50%),"$5,995 ","$6,531 ","$50,000 ",75,CUNY
13311,Two-Year College,Professional Business College,,Q2 (TOP 25 - 50%),www.pbcny.edu,,New York,NY,New York,Private not-for-profit,City,"Very Small (<1,000)",52,30,27,,,,No,25,18,Q2 (TOP 25 - 50%),"$25,817 ","$3,227 ","$52,700 ",83,
13288,Two-Year College,SUNY Dutchess Community College,,Q2 (TOP 25 - 50%),www.sunydutchess.edu,EOP,Poughkeepsie,NY,New York,Public,Suburb,"Small (1,000-5,000)",43,11,18,98,,,Yes,24,17,Q2 (TOP 25 - 50%),"$4,913 ","$11,000 ","$34,600 ",63,SUNY
13268,Two-Year College,SUNY Herkimer County Community College,,Q3 (BOTTOM 50 - 75%),www.herkimer.edu/,,Herkimer,NY,New York,Public,Rural,"Small (1,000-5,000)",67,13,7,91,,,Yes,36,15,Q3 (BOTTOM 50 - 75%),"$6,143 ","$12,000 ",,,SUNY
13276,Two-Year College,SUNY Ulster County Community College,,Q3 (BOTTOM 50 - 75%),WWW.SUNYULSTER.EDU,EOP,Stone Ridge,NY,New York,Public,Rural,"Small (1,000-5,000)",60,5,12,100,,,No,31,15,Q3 (BOTTOM 50 - 75%),"$1,341 ",,"$16,100 ",30,SUNY
13322,Two-Year College,SUNY Jamestown Community College,,Q3 (BOTTOM 50 - 75%),www.sunyjcc.edu,,Jamestown,NY,New York,Public,Town,"Small (1,000-5,000)",64,3,7,91,,,Yes,35,15,Q3 (BOTTOM 50 - 75%),"$5,923 ","$9,706 ","$31,900 ",64,SUNY
10151,Two-Year College,CUNY Medgar Evers College (2-Year),,Q3 (BOTTOM 50 - 75%),www.mec.cuny.edu,"ASAP
SEEK",Brooklyn,NY,New York,Public,City,"Small (1,000-5,000)",76,76,14,99,,,No,14,14,Q3 (BOTTOM 50 - 75%),"$8,507 ","$7,500 ","$29,100 ",54,CUNY
13284,Two-Year College,SUNY Corning Community College,,Q3 (BOTTOM 50 - 75%),https://www.corning-cc.edu/,,Corning,NY,New York,Public,Rural,"Small (1,000-5,000)",59,5,3,94,,,Yes,27,14,Q3 (BOTTOM 50 - 75%),"$4,316 ","$12,500 ","$33,800 ",65,SUNY
13303,Two-Year College,SUNY Finger Lakes Community College,,Q3 (BOTTOM 50 - 75%),www.flcc.edu,EOP,Canandaigua,NY,New York,Public,Rural,"Small (1,000-5,000)",57,5,5,99,,,No,24,14,Q3 (BOTTOM 50 - 75%),"$7,470 ","$12,000 ","$57,400 ",84,SUNY
